time	start	interval_start	messages	last_messages	bytes	last_bytes	mps	bps
1374025573	1374025560	1374025573	3	3	6837	6837	0.3	683.7
1374025583	1374025560	1374025583	10	10	24227	24227	0.7	1739
1374032359	1374032349	1374032359	6	6	17069	17069	0.6	1706.9
1374037152	1374037142	1374037152	10	10	35002	35002	1	3500.2
1374037235	1374037224	1374037235	11	11	31422	31422	1.1	3142.2
1374037266	1374037256	1374037266	15	15	42667	42667	1.5	4266.7
1374037276	1374037256	1374037276	27	27	81061	81061	1.2	3839.4
1374037311	1374037301	1374037311	8	8	27560	27560	0.8	2756
1374037321	1374037301	1374037321	25	25	82714	82714	1.7	5515.4
1374037380	1374037370	1374037380	7	7	20580	20580	0.7	2058
1374037390	1374037370	1374037390	19	19	62089	62089	1.2	4150.9
1374038337	1374038326	1374038337	3	3	10730	10730	0.3	1073
1374038347	1374038326	1374038347	17	17	48063	48063	1.4	3733.3
1374038477	1374038466	1374038477	3	3	12411	12411	0.3	1241.1
1374038488	1374038466	1374038488	16	16	47490	47490	1.3	3507.9
1374038696	1374038686	1374038696	8	8	26460	26460	0.8	2646
1374038708	1374038686	1374038708	17	17	53680	53680	0.9	2722
1374038971	1374038961	1374038971	4	4	10722	10722	0.4	1072.2
1374038982	1374038961	1374038982	10	10	26920	26920	0.6	1619.8
1374039102	1374039089	1374039102	4	4	11265	11265	0.4	1126.5
1374039112	1374039089	1374039112	8	8	21345	21345	0.4	1008
1374039203	1374039193	1374039203	3	3	6835	6835	0.3	683.5
1374039213	1374039193	1374039213	12	12	34649	34649	0.9	2781.4
1374039397	1374039386	1374039397	6	6	17117	17117	0.6	1711.7
1374039407	1374039386	1374039407	11	11	29588	29588	0.5	1247.1
1374039585	1374039575	1374039585	5	5	11842	11842	0.5	1184.2
1374039597	1374039575	1374039597	12	12	29086	29086	0.7	1724.4
1374039646	1374039635	1374039646	9	9	22092	22092	0.9	2209.2
1374039656	1374039635	1374039656	14	14	35033	35033	0.5	1294.1
1374039833	1374039823	1374039833	5	5	14888	14888	0.5	1488.8
1374039845	1374039823	1374039845	9	9	24329	24329	0.4	944.1
1374039875	1374039865	1374039875	3	3	11799	11799	0.3	1179.9
1374039885	1374039865	1374039885	15	15	47460	47460	1.2	3566.1
1374039974	1374039960	1374039974	9	9	25778	25778	0.9	2577.8
1374039984	1374039960	1374039984	23	23	63880	63880	1.4	3810.2
1374040090	1374040080	1374040090	6	6	14822	14822	0.6	1482.2
1374040100	1374040080	1374040100	15	15	37593	37593	0.9	2277.1
1374040148	1374040135	1374040148	5	5	13441	13441	0.5	1344.1
1374040159	1374040135	1374040159	13	13	35496	35496	0.8	2205.5
1374040542	1374040528	1374040542	7	7	15931	15931	0.7	1593.1
1374040553	1374040528	1374040553	11	11	27353	27353	0.4	1142.2
1374040850	1374040840	1374040850	3	3	7116	7116	0.3	711.6
1374040860	1374040840	1374040860	16	16	39639	39639	1.3	3252.3
1374040870	1374040840	1374040870	35	35	83939	83939	1.9	4430
1374040939	1374040929	1374040939	9	9	21668	21668	0.9	2166.8
1374040949	1374040929	1374040949	16	16	40807	40807	0.7	1913.9
1374041130	1374041116	1374041130	8	8	22414	22414	0.8	2241.4
1374041141	1374041116	1374041141	15	15	40755	40755	0.7	1834.1
1374041229	1374041216	1374041229	8	8	19733	19733	0.8	1973.3
1374041241	1374041216	1374041241	19	19	57200	57200	1.1	3746.7
1374041283	1374041273	1374041283	4	4	9454	9454	0.4	945.4
1374041293	1374041273	1374041293	17	17	46541	46541	1.3	3708.7
1374041333	1374041323	1374041333	3	3	6893	6893	0.3	689.3
1374041343	1374041323	1374041343	7	7	16858	16858	0.4	996.5
1374041776	1374041763	1374041776	11	11	28040	28040	1.1	2804
1374041786	1374041763	1374041786	18	18	50547	50547	0.7	2250.7
1374041904	1374041894	1374041904	7	7	21735	21735	0.7	2173.5
1374041915	1374041894	1374041915	12	12	36500	36500	0.5	1476.5
1374041977	1374041967	1374041977	5	5	16539	16539	0.5	1653.9
1374041987	1374041967	1374041987	11	11	34743	34743	0.6	1820.4
1374041997	1374041967	1374041997	23	23	67358	67358	1.2	3261.5
1374100342	1374100331	1374100342	3	3	7099	7099	0.3	709.9
